parent_nis,nis,parent_is_sub,population_rel_to_parent,latitude,longitude,name
35014,350141,True,0.22772417707150963,51.166666666666664,3.0166666666666666,WESTKERKE
35014,350142,True,0.2108399545970488,51.166666666666664,3.033333333333333,ROKSEM
35014,350143,True,0.31143586833144155,51.18333333333333,3.033333333333333,ETTELGEM
35014,35014,True,0.25,51.18333333333333,3.0,OUDENBURG
24086,240861,True,0.199978570663238,50.833333333333336,4.683333333333334,VAALBEEK
24086,240862,True,0.22286510232508303,50.833333333333336,4.733333333333333,HAASRODE
24086,240863,True,0.20572163291546128,50.833333333333336,4.7,BLANDEN
24086,240864,True,0.17143469409621773,50.8,4.65,SINT-JORIS-WEERT
24086,24086,True,0.19999999999999996,50.833333333333336,4.666666666666667,OUD-HEVERLEE
72030,720301,True,0.2964169381107492,51.13333333333333,5.416666666666667,WIJCHMAAL
72030,720302,True,0.17650651465798045,51.166666666666664,5.45,KLEINE-BROGEL
72030,720303,True,0.27707654723127034,51.15,5.5,GROTE-BROGEL
72030,72030,True,0.25,51.13333333333333,5.45,PEER
23064,230641,True,0.1810962618632578,50.75,4.15,BELLINGEN
23064,230642,True,0.13146426496223126,50.733333333333334,4.183333333333334,BEERT
23064,230643,True,0.16656982374588417,50.78333333333333,4.166666666666667,ELINGEN
23064,230644,True,0.1876331590160759,50.733333333333334,4.116666666666666,HEIKRUIS
23064,230645,True,0.16656982374588417,50.733333333333334,4.133333333333334,BOGAARDEN
23064,23064,True,0.16666666666666674,50.766666666666666,4.166666666666667,PEPINGEN
37011,370111,True,0.5,51.016666666666666,3.2666666666666666,EGEM
37011,37011,True,0.5,51.0,3.2666666666666666,PITTEM
33021,330211,True,0.24340062111801244,50.86666666666667,2.6166666666666667,WATOU
33021,330212,True,0.13819875776397517,50.916666666666664,2.6333333333333333,ROESBRUGGE-HARINGE
33021,330213,True,0.17675983436853002,50.88333333333333,2.65,PROVEN
33021,330214,True,0.09213250517598344,50.916666666666664,2.6833333333333336,KROMBEKE
33021,330215,True,0.1828416149068323,50.81666666666667,2.7666666666666666,RENINGELST
33021,33021,True,0.16666666666666663,50.85,2.7333333333333334,POPERINGE
12029,120291,True,0.5,51.05,4.666666666666667,BEERZEL
12029,12029,True,0.5,51.05,4.633333333333333,PUTTE
12030,120301,True,0.3664478230822391,51.083333333333336,4.333333333333333,RUISBROEK
12030,120302,True,0.15549412577747063,51.06666666666667,4.283333333333333,LIEZELE
12030,120303,True,0.22805805114029024,51.05,4.333333333333333,BREENDONK
12030,12030,True,0.2500000000000001,51.06666666666667,4.283333333333333,PUURS
13035,130351,True,0.30266343825665853,51.416666666666664,5.0,POPPEL
13035,130352,True,0.36400322841000804,51.416666666666664,5.0,WEELDE
13035,13035,True,0.3333333333333335,51.36666666666667,5.0,RAVELS
73066,730661,True,0.19187786465354542,50.8,5.616666666666667,ZICHEN-ZUSSEN-BOLDER
73066,730662,True,0.09311809112968454,50.78333333333333,5.566666666666666,MILLEN
73066,730663,True,0.10700997573469936,50.78333333333333,5.6,VAL-MEER
73066,730664,True,0.16063629010514963,50.833333333333336,5.583333333333333,VLIJTINGEN
73066,730665,True,0.09208681585332973,50.833333333333336,5.633333333333333,VROENHOVEN
73066,730666,True,0.05089646805068751,50.81666666666667,5.533333333333333,MEMBRUGGEN
73066,730667,True,0.09985171205176598,50.8,5.566666666666666,HERDEREN
73066,730668,True,0.07152197357778377,50.81666666666667,5.666666666666667,KANNE
73066,730669,True,0.033000808843354004,50.8,5.533333333333333,GENOELSELDEREN
73066,73066,True,0.1000000000000002,50.81666666666667,5.6,RIEMST
36015,360151,True,0.25,50.93333333333333,3.15,RUMBEKE
36015,360152,True,0.25,50.96666666666667,3.15,BEVEREN
36015,360153,True,0.25,50.916666666666664,3.1666666666666665,OEKENE
36015,36015,True,0.25,50.95,3.1166666666666667,ROESELARE
24094,240941,True,0.32734864300626304,50.96666666666667,4.7,WERCHTER
24094,240942,True,0.33931802366040364,50.95,4.75,WEZEMAAL
24094,24094,True,0.33333333333333326,50.95,4.716666666666667,ROTSELAAR
11037,110371,True,0.3333333333333333,51.083333333333336,4.4,TERHAGEN
11037,110372,True,0.3333333333333333,51.1,4.416666666666667,REET
11037,11037,True,0.33333333333333337,51.083333333333336,4.416666666666667,RUMST
11039,110391,True,0.5,51.266666666666666,4.55,'S-GRAVENWEZEL
11039,11039,True,0.5,51.233333333333334,4.583333333333333,SCHILDE
12034,120341,True,0.3333333333333333,51.06666666666667,4.25,OPPUURS
12034,120342,True,0.3333333333333333,51.05,4.266666666666667,LIPPELO
12034,12034,True,0.33333333333333337,51.05,4.2,SINT-AMANDS
46020,460201,True,0.2931011296395912,51.2,4.1,SINT-PAUWELS
46020,460202,True,0.25,51.266666666666666,4.15,MEERDONK
46020,460203,True,0.20689887036040883,51.25,4.083333333333333,DE KLINGE
46020,46020,True,0.25,51.21666666666667,4.133333333333334,SINT-GILLIS-WAAS
12035,120351,True,0.5,51.06666666666667,4.583333333333333,ONZE-LIEVE-VROUW-WAVER
12035,12035,True,0.5,51.06666666666667,4.533333333333333,SINT-KATELIJNE-WAVER
43014,430141,True,0.35072,51.28333333333333,3.6333333333333333,WATERVLIET
43014,430142,True,0.09770666666666666,51.28333333333333,3.5833333333333335,WATERLAND-OUDEMAN
43014,430143,True,0.13653333333333334,51.28333333333333,3.55,SINT-MARGRIETE
43014,430144,True,0.21503999999999998,51.266666666666666,3.5833333333333335,SINT-JAN-IN-EREMO
43014,43014,True,0.20000000000000007,51.233333333333334,3.533333333333333,SINT-LAUREINS
41063,410631,True,0.31095637927503583,50.93333333333333,3.9,VLIERZELE
41063,410632,True,0.09895556010649191,50.93333333333333,3.9166666666666665,ZONNEGEM
41063,410633,True,0.21380298996518535,50.95,3.8666666666666667,BAVEGEM
41063,410634,True,0.1762850706532869,50.93333333333333,3.8833333333333333,LETTERHOUTEM
41063,41063,True,0.19999999999999996,50.916666666666664,3.8666666666666667,SINT-LIEVENS-HOUTEM
44064,440641,True,0.5,51.0,3.6,DEURLE
44064,44064,True,0.5,51.016666666666666,3.6333333333333333,SINT-MARTENS-LATEM
46021,460211,True,0.2100799779371208,51.15,4.05,SINAAI
46021,460212,True,0.335838389409818,51.15,4.083333333333333,BELSELE
46021,460213,True,0.20408163265306123,51.2,4.183333333333334,NIEUWKERKEN-WAAS
46021,46021,True,0.25,51.166666666666664,4.133333333333334,SINT-NIKLAAS
23077,230771,True,0.2687088856161021,50.8,4.233333333333333,VLEZENBEEK
23077,230772,True,0.4746588119783996,50.78333333333333,4.3,RUISBROEK
23077,230773,True,0.026941580756013744,50.78333333333333,4.2,SINT-LAUREINS-BERCHEM
23077,230774,True,0.029690721649484535,50.78333333333333,4.2,OUDENAKEN
23077,23077,True,0.20000000000000007,50.78333333333333,4.25,SINT-PIETERS-LEEUW
71053,710531,True,0.12612612612612614,50.766666666666666,5.133333333333334,VELM
71053,710532,True,0.06106244175209693,50.81666666666667,5.15,WILDEREN
71053,710533,True,0.024645334990162575,50.85,5.15,RUNKELEN
71053,710534,True,0.022789686237962098,50.833333333333336,5.166666666666667,GORSEM
71053,710535,True,0.02528321424873149,50.833333333333336,5.15,DURAS
71053,710536,True,0.23224603914259087,50.81666666666667,5.25,ZEPPEREN
71053,710537,True,0.05352386869628249,50.81666666666667,5.233333333333333,ORDINGEN
71053,710538,True,0.034213523868696284,50.766666666666666,5.183333333333334,KERKOM-BIJ-SINT-TRUIDEN
71053,710539,True,0.021339960650305478,50.8,5.15,HALMAAL
71053,7105310,True,0.03224189706948328,50.78333333333333,5.266666666666667,GROOT-GELMEN
71053,7105311,True,0.08321424873149011,50.766666666666666,5.266666666666667,GELINDEN
71053,7105312,True,0.024413378896137518,50.766666666666666,5.25,ENGELMANSHOVEN
71053,7105313,True,0.15024955990473232,50.8,5.216666666666667,BRUSTEM
71053,7105314,True,0.04198405301853578,50.78333333333333,5.216666666666667,AALST
