id,province,population,x_coord,y_coord,latitude,longitude
0,5,41860,0,0,52.2,5.483333,Nijkerk
0,1,28020,0,0,52.15,4.8,Nieuwkoop
0,11,7385,0,0,51.583333,3.733333,Noord-Beveland
0,5,174575,0,0,51.833333,5.866667,Nijmegen
0,5,12353,0,0,51.833333,5.283333,Neerijnen
0,0,46573,0,0,52.716667,5.7,Noordoostpolder
0,6,16939,0,0,51.283333,5.75,Nederweert
0,7,61923,0,0,52.031111,5.091944,Nieuwegein
0,6,7756,0,0,51.753056,5.881944,Mook en Middelaar
0,5,23398,0,0,51.933333,5.633333,Neder-Betuwe
0,7,13853,0,0,52.033333,4.95,Montfoort
0,5,35396,0,0,51.933333,6.15,Montferland
0,2,36988,0,0,51.655,4.533056,Moerdijk
0,1,29230,0,0,51.866667,4.783333,Molenwaard
0,6,19073,0,0,50.886111,5.751944,Meerssen
0,11,48081,0,0,51.5,3.616667,Middelburg
0,1,19117,0,0,51.966667,4.3,Midden-Delfland
0,9,33155,0,0,52.7,6.183333,Meppel
0,9,33311,0,0,52.85,6.5,Midden-Drenthe
0,2,10825,0,0,51.681111,5.795,Mill en Sint Hubert
0,8,10402,0,0,53.133333,6.25,Marum
0,3,44042,0,0,52.743889,5.061111,Medemblik
0,1,32470,0,0,51.933333,4.25,Maassluis
0,8,10051,0,0,53.35,6.366667,De Marne
0,6,23822,0,0,51.15,5.883333,Maasgouw
0,5,33556,0,0,52.15,6.4,Lochem
0,7,14290,0,0,4.95,51.983333,Lopik
0,2,23117,0,0,51.628056,5.076111,Loon op Zand
0,1,22740,0,0,52.25,4.55,Lisse
0,5,46185,0,0,51.9,5.9,Lingewaard
0,5,24280,0,0,51.766667,5.333333,Maasdriel
0,8,9887,0,0,53.316667,6.733333,Loppersum
0,4,22507,0,0,52.25,7,Losser
0,6,122461,0,0,50.85,5.683333,Maastricht
0,5,11157,0,0,51.883333,5.116667,Lingewaal
0,7,29700,0,0,52.133333,5.416667,Leusden
0,0,77095,0,0,52.5,5.466667,Lelystad
0,6,35848,0,0,51.25,5.9,Leudal
0,1,123924,0,0,52.15,4.483333,Leiden
0,10,,0,0,53.25,5.783333,Leeuwarderadeel
0,10,108768,0,0,53.2,5.783333,Leeuwarden
0,1,74669,0,0,52.083333,4.4,Leidschendam-Voorburg
0,1,27143,0,0,52.15,4.533333,Leiderdorp
0,3,27721,0,0,52.693889,4.793889,Langedijk
0,3,11079,0,0,52.254444,5.231667,Laren
0,8,19638,0,0,53.15,6.383333,Leek
0,3,11352,0,0,52.429167,4.913611,Landsmeer
0,1,20932,0,0,51.9,5.083333,Leerdam
0,1,60482,0,0,52,4.5,Lansingerland
0,1,29079,0,0,51.916667,4.6,Krimpen aan den IJssel
0,2,15336,0,0,51.716667,5.65,Landerd
0,1,64589,0,0,52.2,4.4,Katwijk
0,6,45870,0,0,50.85,6.05,Kerkrade
0,11,12649,0,0,51.5,3.95,Kapelle
0,1,10998,0,0,51.783333,4.333333,Korendijk
0,3,22551,0,0,52.633333,4.95,Koggenland
0,10,12853,0,0,53.3,6.183333,Kollumerland en Nieuwkruisland
0,6,37472,0,0,50.908056,6.03,Landgraaf
0,2,21993,0,0,51.516667,5.616667,Laarbeek
0,2,26254,0,0,51.561111,4.933056,Gilze en Rijen
0,5,32622,0,0,52.333333,5.916667,Epe
0,5,26627,0,0,52.283333,5.666667,Ermelo
0,4,52777,0,0,52.55,5.9,Kampen
0,1,26509,0,0,52.203056,4.631111,Kaag en Braassem
0,7,34307,0,0,52.016667,5.05,IJsselstein
0,11,27395,0,0,51.316667,4.05,Hulst
0,6,42183,0,0,51.436944,6.106111,Horst aan de Maas
0,9,55252,0,0,52.066667,6.466667,Hoogeveen
0,3,41432,0,0,52.298889,5.253056,Huizen
0,7,49395,0,0,52.033333,5.166667,Houten
0,10,8681,0,0,53.329444,5.840833,Ferwerderadeel
0,2,43124,0,0,51.571111,4.636111,Etten-Leur
0,3,89148,0,0,52.216667,5.183333,Hilversum
0,2,227100,0,0,51.433333,5.466667,Eindhoven
0,3,72759,0,0,52.633333,5.05,Hoorn
0,5,16421,0,0,51.783333,5.866667,Heumen
0,2,43522,0,0,51.7,5.166667,Heusden
0,1,21486,0,0,52.3,4.583333,Hillegom
0,2,15320,0,0,51.486111,5.136944,Hilvarenbeek
0,5,23058,0,0,52.45,5.85,Elburg
0,4,34972,0,0,52.25,6.7,Hof van Twente
0,3,47585,0,0,52.878056,4.811389,Hollands Kroon
0,1,30100,0,0,51.85,4.633333,Hendrik-Ido-Ambacht
0,4,80683,0,0,52.266667,6.783333,Hengelo
0,2,152651,0,0,51.683333,5.3,'s-Hertogenbosch
0,3,22966,0,0,52.601111,4.701944,Heiloo
0,4,35789,0,0,52.35,6.45,Hellendoorn
0,1,38756,0,0,51.833333,4.133333,Hellevoetsluis
0,3,56016,0,0,52.95,4.766667,Den Helder
0,2,90576,0,0,51.483333,5.65,Helmond
0,0,40711,0,0,52.516667,5.716667,Dronten
0,2,26922,0,0,51.694444,4.797222,Drimmelen
0,5,18604,0,0,51.883333,5.6,Druten
0,7,154712,0,0,52.15,5.383333,Amersfoort
0,5,25382,0,0,51.95,6.016667,Duiven
0,3,55159,0,0,52.666667,4.85,Heerhugowaard
0,5,18595,0,0,52.4,6.05,Heerde
0,2,15724,0,0,51.366944,5.558056,Heeze-Leende
0,6,86910,0,0,50.883333,5.966667,Heerlen
0,1,17925,0,0,51.833333,4.833333,Hardinxveld-Giessendam
0,10,50229,0,0,52.966667,6.05,Heerenveen
0,3,39053,0,0,52.510833,4.672778,Heemskerk
0,5,46582,0,0,52.35,5.616667,Harderwijk
0,4,60406,0,0,52.566667,6.6,Hardenberg
0,10,15848,0,0,53.3,5.683333,Harlingen
0,8,19672,0,0,53.166667,6.6,Haren
0,3,26989,0,0,52.35,4.616667,Heemstede
0,5,12076,0,0,52.483333,6.066667,Hattem
0,3,146332,0,0,52.316667,4.683333,Haarlemmermeer
0,8,11908,0,0,53.316667,6.866667,Appingedam
