id,province,population,x_coord,y_coord,latitude,longitude,name
300,80,82541,0,0,44.9261,2.4406,Aurillac
301,92,147277,0,0,49.15,0.23,Lisieux
302,91,196993,0,0,45.65,0.16,Angoulme
303,92,68130,0,0,49.2794,-0.7028,Bayeux
304,92,57523,0,0,48.838,-0.889,Vire
305,93,1054525,0,0,43.2964,5.37,Marseille
306,92,417015,0,0,49.18,-0.37,Caen
307,94,64124,0,0,44.3533,2.035,Villefranche-de-Rouergue
308,94,142631,0,0,44.3506,2.575,Rodez
309,93,425725,0,0,43.526304,5.445429,Aix-en-Provence
310,93,202919,0,0,43.6767,4.6278,Arles
311,94,70985,0,0,44.0986,3.0783,Millau
312,93,310008,0,0,43.5151,4.9895,Istres
313,95,158495,0,0,43.1836,3.0042,Narbonne
314,95,161892,0,0,43.21,2.35,Carcassonne
315,95,44490,0,0,43.0578,2.2192,Limoux
316,96,27455,0,0,42.9858,1.1467,Saint-Girons
317,4,55009,0,0,48.4942,3.5033,Nogent-sur-Seine
318,4,222726,0,0,48.2997,4.0792,Troyes
319,96,73491,0,0,43.1175,1.6117,Pamiers
320,97,22126,0,0,49.3972,4.6983,Vouziers
321,98,135088,0,0,45.0681,4.8333,Tournon-sur-Rhne
322,96,51738,0,0,42.9664,1.6078,Foix
323,97,60035,0,0,49.7034,4.9388,Sedan
324,99,520433,0,0,43.7034,7.2663,Nice
325,98,87324,0,0,44.7358,4.597,Privas
326,98,97967,0,0,44.5436,4.2942,Largentire
327,97,36844,0,0,49.5106,4.3667,Rethel
328,97,161902,0,0,49.7719,4.7161,Charleville-Mzires
329,1,55899,0,0,44.0933,6.2364,Digne-les-Bains
330,99,560338,0,0,43.6667,6.9167,Grasse
331,1,9497,0,0,43.8475,6.5139,Castellane
