parent_id,id,population_rel_to_parent,latitude,longitude,name
31004,310041,0.5,51.31666666666667,3.1333333333333333,BLANKENBERGE
72003,720032,0.13582787652011225,51.15,5.566666666666666,REPPEL
72003,720033,0.5308387901465543,51.18333333333333,5.516666666666667,KAULILLE
72003,720031,0.3333333333333335,51.166666666666664,5.583333333333333,BOCHOLT
11004,110042,0.5,51.18333333333333,4.516666666666667,VREMDE
11004,110041,0.5,51.166666666666664,4.483333333333333,BOECHOUT
12005,120052,0.5,51.0,4.583333333333333,RIJMENAM
12005,120051,0.5,51.016666666666666,4.55,BONHEIDEN
24014,240142,0.5,51.0,4.55,HEVER
24014,240141,0.5,50.983333333333334,4.566666666666666,BOORTMEERBEEK
73009,730092,0.1213484647681839,50.78333333333333,5.383333333333334,BOMMERSHOVEN
73009,730093,0.022853069906783534,50.8,5.316666666666666,VOORT
73009,730094,0.09822810749406956,50.8,5.266666666666667,RIJKEL
73009,730095,0.010691494693232063,50.8,5.333333333333333,KUTTEKOVEN
73009,730096,0.09448608435143835,50.81666666666667,5.366666666666666,KERNIEL
73009,730097,0.09742624539207716,50.8,5.383333333333334,JESSEREN
73009,730098,0.023922219376106738,50.8,5.333333333333333,HENDRIEKEN
73009,730099,0.28466104620730365,50.81666666666667,5.283333333333333,HOEPERTINGEN
73009,7300910,0.019378334131483113,50.8,5.366666666666666,GROOT-LOON
73009,7300911,0.03635108195698901,50.8,5.316666666666666,GOTEM
73009,7300912,0.05813500239444934,50.78333333333333,5.333333333333333,BROEKOM
73009,7300913,0.05559577240480672,50.81666666666667,5.4,GORS-OPLEEUW
73009,730091,0.07692307692307687,50.8,5.35,BORGLOON
12007,120072,0.25,51.1,4.266666666666667,HINGENE
12007,120073,0.25,51.06666666666667,4.183333333333334,MARIEKERKE
12007,120074,0.25,51.1,4.2,WEERT
12007,120071,0.25,51.1,4.233333333333333,BORNEM
24016,240162,0.15370407018932647,50.833333333333336,4.833333333333333,VERTRIJK
24016,240163,0.09581766607295995,50.81666666666667,4.833333333333333,WILLEBRINGEN
24016,240164,0.2836598720232205,50.833333333333336,4.866666666666667,ROOSBEEK
24016,240165,0.10060030345009566,50.81666666666667,4.816666666666666,NEERVELP
24016,240166,0.19955142159773073,50.85,4.866666666666667,KERKOM
24016,240161,0.16666666666666663,50.85,4.833333333333333,BOUTERSEM
11009,110092,0.2687211552776537,51.35,4.683333333333334,SINT-LENAARTS
11009,110093,0.39794551138901296,51.3,4.583333333333333,SINT-JOB-IN-'T-GOOR
11009,110091,0.33333333333333326,51.35,4.65,BRECHT
72004,720042,0.12123881624225741,51.13333333333333,5.666666666666667,TONGERLO
72004,720043,0.2656022023399862,51.11666666666667,5.65,OPITTER
72004,720044,0.26174810736407433,51.15,5.583333333333333,GERDINGEN
72004,720045,0.15141087405368203,51.15,5.6,BEEK
72004,720041,0.20000000000000007,51.13333333333333,5.6,BREE
31005,310052,0.0802362984040579,51.3,3.2,LISSEWEGE
31005,310053,0.027766608932327106,51.28333333333333,3.2333333333333334,DUDZELE
31005,310054,0.17203389830508475,51.21666666666667,3.25,SINT-KRUIS
31005,310055,0.21365674873190646,51.2,3.25,ASSEBROEK
31005,310056,0.13038939750092787,51.18333333333333,3.216666666666667,SINT-MICHIELS
31005,310057,0.21453358901397995,51.2,3.183333333333333,SINT-ANDRIES
31005,310058,0.03638345911171594,51.25,3.25,KOOLKERKE
31005,310051,0.1250000000000001,51.21666666666667,3.2333333333333334,BRUGGE
42004,420042,0.5,51.03333333333333,4.216666666666667,OPDORP
42004,420041,0.5,51.016666666666666,4.2,BUGGENHOUT
31006,310062,0.47287633001918716,51.2,3.3166666666666664,SIJSELE
